text,label
Teaching my kids transgenders are anything but mentally ill will get you set on fire.,True
"Chinky filthy guy, get out of US. Get out of our land.",True
"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",True
"I just want to sit down with both of them, buy them a drink, and just talk. I don't care what it's about, they just seem like people who must be great to have a conversation with.",False
You have the grace and composure of a rabid hyena,False
"If I was your dad, I would have cut your penis and make you it, because it’s useless for you",True
"You look kinda dead inside, you parents must not haved loved you. ",False
Bro..your channel needs to grow man,False
Just kidding but I know how It feels,False
hey baby you look like tinkerbell luhlulhulhulhulhluh,False
LILLY SINGH IS A QUEEN! Yay but when will be the next episode,False
 Sorry that I was born as an Indian... ,False
"Stop war. Lead, Radiation, chemicals is killing this earth.  Share, care, sympathy, and empathy most of all Love is needed in this world.",False
Every publicity is good publicity ha ? I'm here after watching leaving neverland i don't know he is guilty or not but in music he is a legend and no one can take that from him,False
America is the greatest country. That aint lie you know that I know that,False
Waitresses are cunts,True
Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.,True
The dark cloud is the side of you that you cannot fully understand but its your alter ego that you need to accept or you’ll be deprived of your superpowers.,False
I am white and I go to a school whare it is mostly black kids and I was made fun of just because of skin my best friend's mom dose not like me because I am white so .... I had to change schools,False
"there's nowhere in the world where woman are equal. how about in all the places where they are president or prime minister or queen... how about in America, Australia, Canada, Britain, Scandinavia, France... shall I go on? Like honestly woman u live in an equal world. Stop being so self-obsessed and stop refusing to look at the facts. Women are already equal to men and have been for a long time.",False
"well, looks like its time to have another child",False
"To the lady that can barely speak English and then look down upon her own people, that's disgraceful.",False
What the fuck stupid people !!!,False
"If white people are gone from this earth, we will go directly back to stone age. Not even kidding",False
My car is my love of my life. I fucking love this bitch. It's fast and it makes me feel complete ,False
This channel is more dangerous than Islam,True
"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter",True
You look like Harry Potter if he stayed under the stairs,False
"People who say ""YAAAASSSS QUEEN"" should be sterilised",False
It's killing me seeing gays treated like that,False
"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways",True
they are all fucking assholes,False
"The rotten, nasty bastards!",False
I think black and white are just labels. People can live together in piece despite colour dismatch,False
Smack that bitch up - mouthy African cunt,True
"Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you",True
Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true,True
Trump is racist for not letting this brave woman return!!!,False
I would order a bucket of ice cold water so I can pour it on him,False
"Gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays",True
Killing koreans its werry good,True
Jewish piece of shits like him should get hanged,True
Kill those pig eaters fuck those americunts send them to hell,True
"That's Hip Hop. Not the sh***t they bring today. Where are the critical minds of our time. If no one will come out I'll do it myself. Racism, Oppression, Hate still is very much there in 2019.",False
" Oh and NIki pronounced mademoiselle Maupin way better than Siri did.""",False
I would smack them also but I'd be homophobic and in jail with ya!,True
I notice that the LGBT cancer is starting to slowly affect SA countries like Japan.,True
I see the depression caused her to gain more weight.,False
This is just crazy liberal satanic crap. Don't fall for it. There are only two genders and these people are just cofused psychos,True
